business_date,account,internal_security_id,quantity,price,market_value,currency
2026-09-18,ACC-EQ-01,SEC0024,940.0,3946.33,3709550.2,INR
2026-09-18,ACC-EQ-01,SEC0058,3945.0,2232.41,8806857.45,INR
2026-09-18,ACC-EQ-01,SEC0015,2891.0,951.98,2752174.18,INR
2026-09-18,ACC-FI-01,SEC0001,500.0,99.09,49545.0,INR
2026-09-18,ACC-EQ-01,SEC0049,1000.0,3148.76,3148760.0,INR
2026-09-18,ACC-EQ-01,SEC0009,800.0,2194.12,1755296.0,INR
2026-09-18,ACC-EQ-01,SEC0057,367.0,1156.92,424589.64,INR
2026-09-18,ACC-EQ-01,SEC0044,2416.0,3208.0,7750528.0,INR
2026-09-18,ACC-EQ-01,SEC0035,500.0,1165.39,582695.0,INR
2026-09-18,ACC-EQ-01,SEC0048,600.0,1300.81,780486.0,INR
2026-09-18,ACC-EQ-01,SEC0060,4931.0,3026.15,14921945.65,INR
2026-09-18,ACC-EQ-01,SEC0039,1720.0,1999.35,3438882.0,INR
2026-09-18,ACC-EQ-01,SEC0020,4561.0,1127.92,5144443.12,INR
2026-09-18,ACC-EQ-01,SEC0014,1320.0,4101.59,5414098.8,INR
2026-09-18,ACC-EQ-01,SEC0017,1265.0,460.63,582696.95,INR
2026-09-18,ACC-EQ-01,SEC0004,1459.0,3597.93,5249379.87,INR
2026-09-18,ACC-EQ-01,SEC0007,4974.0,3407.97,16951242.78,INR
2026-09-18,ACC-EQ-01,SEC0056,4762.0,4157.19,19796538.78,INR
2026-09-18,ACC-EQ-01,SEC0047,3697.0,690.94,2554405.18,INR
2026-09-18,ACC-EQ-01,SEC0029,2591.0,3193.84,8275239.44,INR
2026-09-18,ACC-EQ-01,SEC0025,2330.0,2327.05,5422026.5,INR
2026-09-18,ACC-EQ-01,SEC0055,4145.0,2054.25,8514866.25,INR
2026-09-18,ACC-EQ-01,SEC0034,4999.0,323.39,1616626.61,INR
2026-09-18,ACC-EQ-01,SEC0038,3639.0,3345.22,12173255.58,INR
2026-09-18,ACC-EQ-01,SEC0045,2151.0,262.51,564659.01,INR
2026-09-18,ACC-EQ-01,SEC0005,1975.0,4334.31,8560262.25,INR
2026-09-18,ACC-EQ-01,SEC0040,4812.0,2703.98,13011551.76,INR
2026-09-18,ACC-EQ-01,SEC0019,269.0,4498.14,1209999.66,INR
2026-09-18,ACC-EQ-01,SEC0027,2307.0,2656.67,6128937.69,INR
2026-09-18,ACC-EQ-01,SEC0028,1535.0,2196.68,3371903.8,INR
2026-09-18,ACC-EQ-01,SEC0059,3722.0,4134.92,15390172.24,INR
2026-09-18,ACC-EQ-01,SEC0046,1586.0,4486.71,7115922.06,INR
